(PL,50.856299070565896)
(ER,42.07869476783978)
(sexual,31.296184043425168)
(TX,31.296184043425168)
(AC,31.296184043425168)
(perfusion,31.296184043425168)
(intake,31.296184043425168)
(PET,31.296184043425168)
(PA,31.296184043425168)
(ERα,27.38416103799702)
(seroma,27.38416103799702)
(MM-231,27.38416103799702)
(aspirin,27.38416103799702)
(IR,27.38416103799702)
(SNPs,24.54590528123987)
(MRI,23.965858188431927)
(contrast,23.965858188431927)
(low-dose,23.472138032568875)
(naringenin,23.472138032568875)
(MM-468,23.472138032568875)
